family,propulsion,mission,sweep,agent,seed,termination_reason_mode
electric,ion_nstar,leo_geo_transfer,my_pilot,random,2,timeout
electric,ion_nstar,leo_geo_transfer,my_pilot,random,3,timeout
electric,ion_nstar,leo_geo_transfer,my_pilot,random,4,timeout
electric,ion_nstar,leo_geo_transfer,my_pilot,random,5,timeout
electric,ion_nstar,leo_geo_transfer,my_pilot,random,6,timeout
electric,ion_nstar,leo_geo_transfer,my_pilot,random,7,timeout
electric,ion_nstar,leo_geo_transfer,my_pilot,sac,0,timeout
electric,ion_nstar,leo_geo_transfer,my_pilot,sac,1,timeout
electric,ion_nstar,leo_geo_transfer,my_pilot,sac,2,timeout
electric,ion_nstar,leo_geo_transfer,my_pilot,sac,3,timeout
electric,ion_nstar,leo_geo_transfer,my_pilot,sac,4,timeout
electric,ion_nstar,leo_geo_transfer,my_pilot,sac,5,timeout
electric,ion_nstar,leo_geo_transfer,my_pilot,sac,6,timeout
electric,ion_nstar,leo_geo_transfer,my_pilot,sac,7,timeout
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,max_thrust,0,timeout
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,max_thrust,1,timeout
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,max_thrust,2,timeout
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,max_thrust,3,timeout
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,max_thrust,4,timeout
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,max_thrust,5,timeout
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,max_thrust,6,timeout
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,max_thrust,7,timeout
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,ppo,0,timeout
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,ppo,1,timeout
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,ppo,2,timeout
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,ppo,3,timeout
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,ppo,4,timeout
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,ppo,5,timeout
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,ppo,6,timeout
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,ppo,7,timeout
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,prograde,0,timeout
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,prograde,1,timeout
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,prograde,2,timeout
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,prograde,3,timeout
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,prograde,4,timeout
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,prograde,5,timeout
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,prograde,6,timeout
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,prograde,7,timeout
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,random,0,timeout
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,random,1,timeout
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,random,2,timeout
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,random,3,timeout
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,random,4,timeout
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,random,5,timeout
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,random,6,timeout
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,random,7,timeout
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,sac,0,timeout
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,sac,1,timeout
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,sac,2,timeout
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,sac,3,timeout
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,sac,4,timeout
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,sac,5,timeout
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,sac,6,timeout
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,sac,7,timeout
electric,ion_next,mars_crew_fast,my_pilot_nuclear,max_thrust,0,timeout
electric,ion_next,mars_crew_fast,my_pilot_nuclear,max_thrust,1,timeout
electric,ion_next,mars_crew_fast,my_pilot_nuclear,max_thrust,2,timeout
electric,ion_next,mars_crew_fast,my_pilot_nuclear,max_thrust,3,timeout
electric,ion_next,mars_crew_fast,my_pilot_nuclear,max_thrust,4,timeout
electric,ion_next,mars_crew_fast,my_pilot_nuclear,max_thrust,5,timeout
electric,ion_next,mars_crew_fast,my_pilot_nuclear,max_thrust,6,timeout
electric,ion_next,mars_crew_fast,my_pilot_nuclear,max_thrust,7,timeout
electric,ion_next,mars_crew_fast,my_pilot_nuclear,ppo,0,timeout
electric,ion_next,mars_crew_fast,my_pilot_nuclear,ppo,1,timeout
electric,ion_next,mars_crew_fast,my_pilot_nuclear,ppo,2,timeout
electric,ion_next,mars_crew_fast,my_pilot_nuclear,ppo,3,timeout
electric,ion_next,mars_crew_fast,my_pilot_nuclear,ppo,4,timeout
electric,ion_next,mars_crew_fast,my_pilot_nuclear,ppo,5,timeout
electric,ion_next,mars_crew_fast,my_pilot_nuclear,ppo,6,timeout
electric,ion_next,mars_crew_fast,my_pilot_nuclear,ppo,7,timeout
electric,ion_next,mars_crew_fast,my_pilot_nuclear,prograde,0,timeout
electric,ion_next,mars_crew_fast,my_pilot_nuclear,prograde,1,timeout
electric,ion_next,mars_crew_fast,my_pilot_nuclear,prograde,2,timeout
electric,ion_next,mars_crew_fast,my_pilot_nuclear,prograde,3,timeout
electric,ion_next,mars_crew_fast,my_pilot_nuclear,prograde,4,timeout
electric,ion_next,mars_crew_fast,my_pilot_nuclear,prograde,5,timeout
electric,ion_next,mars_crew_fast,my_pilot_nuclear,prograde,6,timeout
electric,ion_next,mars_crew_fast,my_pilot_nuclear,prograde,7,timeout
electric,ion_next,mars_crew_fast,my_pilot_nuclear,random,0,timeout
electric,ion_next,mars_crew_fast,my_pilot_nuclear,random,1,timeout
electric,ion_next,mars_crew_fast,my_pilot_nuclear,random,2,timeout
electric,ion_next,mars_crew_fast,my_pilot_nuclear,random,3,timeout
electric,ion_next,mars_crew_fast,my_pilot_nuclear,random,4,timeout
electric,ion_next,mars_crew_fast,my_pilot_nuclear,random,5,timeout
electric,ion_next,mars_crew_fast,my_pilot_nuclear,random,6,timeout
electric,ion_next,mars_crew_fast,my_pilot_nuclear,random,7,timeout
electric,ion_next,mars_crew_fast,my_pilot_nuclear,sac,0,timeout
electric,ion_next,mars_crew_fast,my_pilot_nuclear,sac,1,timeout
electric,ion_next,mars_crew_fast,my_pilot_nuclear,sac,2,timeout
electric,ion_next,mars_crew_fast,my_pilot_nuclear,sac,3,timeout
