family,propulsion,mission,sweep,agent,seed,constraint_violations
electric,ion_next,mars_crew_fast,my_pilot_nuclear,ppo,5,0.0
electric,ion_next,mars_crew_fast,my_pilot_nuclear,ppo,6,0.0
electric,ion_next,mars_crew_fast,my_pilot_nuclear,ppo,7,0.0
electric,ion_next,mars_crew_fast,my_pilot_nuclear,prograde,0,1402.75
electric,ion_next,mars_crew_fast,my_pilot_nuclear,prograde,1,1610.25
electric,ion_next,mars_crew_fast,my_pilot_nuclear,prograde,2,2213.25
electric,ion_next,mars_crew_fast,my_pilot_nuclear,prograde,3,1944.5
electric,ion_next,mars_crew_fast,my_pilot_nuclear,prograde,4,2179.5
electric,ion_next,mars_crew_fast,my_pilot_nuclear,prograde,5,2548.75
electric,ion_next,mars_crew_fast,my_pilot_nuclear,prograde,6,2104.75
electric,ion_next,mars_crew_fast,my_pilot_nuclear,prograde,7,1995.75
electric,ion_next,mars_crew_fast,my_pilot_nuclear,random,0,418.0
electric,ion_next,mars_crew_fast,my_pilot_nuclear,random,1,448.0
electric,ion_next,mars_crew_fast,my_pilot_nuclear,random,2,510.25
electric,ion_next,mars_crew_fast,my_pilot_nuclear,random,3,488.0
electric,ion_next,mars_crew_fast,my_pilot_nuclear,random,4,529.0
electric,ion_next,mars_crew_fast,my_pilot_nuclear,random,5,560.25
electric,ion_next,mars_crew_fast,my_pilot_nuclear,random,6,514.75
electric,ion_next,mars_crew_fast,my_pilot_nuclear,random,7,522.5
electric,ion_next,mars_crew_fast,my_pilot_nuclear,sac,0,0.0
electric,ion_next,mars_crew_fast,my_pilot_nuclear,sac,1,0.0
electric,ion_next,mars_crew_fast,my_pilot_nuclear,sac,2,0.0
electric,ion_next,mars_crew_fast,my_pilot_nuclear,sac,3,0.0
electric,ion_next,mars_crew_fast,my_pilot_nuclear,sac,4,0.0
electric,ion_next,mars_crew_fast,my_pilot_nuclear,sac,5,0.0
electric,ion_next,mars_crew_fast,my_pilot_nuclear,sac,6,0.0
electric,ion_next,mars_crew_fast,my_pilot_nuclear,sac,7,0.0
electric,hall_spt100,leo_geo_transfer,smoke,max_thrust,0,1.0
electric,hall_spt100,leo_geo_transfer,smoke,max_thrust,1,1.0
electric,hall_spt100,leo_geo_transfer,smoke,max_thrust,2,1.0
electric,hall_spt100,leo_geo_transfer,smoke,ppo,0,1.0
electric,hall_spt100,leo_geo_transfer,smoke,ppo,1,1.0
electric,hall_spt100,leo_geo_transfer,smoke,ppo,2,1.0
electric,hall_spt100,leo_geo_transfer,smoke,random,0,1.0
electric,hall_spt100,leo_geo_transfer,smoke,random,1,1.0
electric,hall_spt100,leo_geo_transfer,smoke,random,2,1.0
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,edelbaum,0,0.0
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,edelbaum,1,0.0
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,edelbaum,2,0.0
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,edelbaum,3,0.0
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,edelbaum,4,0.0
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,edelbaum,5,0.0
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,edelbaum,6,0.0
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,edelbaum,7,0.0
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,max_thrust,0,0.0
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,max_thrust,1,0.0
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,max_thrust,2,0.0
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,max_thrust,3,0.0
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,max_thrust,4,0.0
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,max_thrust,5,0.0
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,max_thrust,6,0.0
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,max_thrust,7,0.0
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,ppo,0,34.5
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,ppo,1,32.75
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,ppo,2,44.5
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,ppo,3,26.0
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,ppo,4,51.25
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,ppo,5,0.75
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,ppo,6,18.5
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,ppo,7,42.25
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,prograde,0,0.0
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,prograde,1,0.0
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,prograde,2,0.0
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,prograde,3,0.0
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,prograde,4,0.0
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,prograde,5,0.0
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,prograde,6,0.0
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,prograde,7,0.0
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,random,0,0.0
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,random,1,0.0
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,random,2,0.0
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,random,3,0.0
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,random,4,0.0
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,random,5,0.0
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,random,6,0.0
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,random,7,0.0
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,sac,0,59.25
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,sac,1,57.75
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,sac,2,70.0
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,sac,3,46.25
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,sac,4,85.0
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,sac,5,14.75
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,sac,6,34.75
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,sac,7,76.25
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,max_thrust,0,0.0
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,max_thrust,1,0.0
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,max_thrust,2,0.0
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,max_thrust,3,0.0
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,max_thrust,4,0.0
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,max_thrust,5,0.0
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,max_thrust,6,0.0
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,max_thrust,7,0.0
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,ppo,0,0.0
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,ppo,1,0.0
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,ppo,2,0.0
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,ppo,3,0.0
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,ppo,4,0.0
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,ppo,5,0.0
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,ppo,6,0.0
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,ppo,7,0.0
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,prograde,0,0.0
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,prograde,1,0.0
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,prograde,2,3.5
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,prograde,3,11.0
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,prograde,4,0.0
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,prograde,5,0.0
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,prograde,6,0.0
