family,propulsion,mission,sweep,agent,seed,wear_fraction
electric,ion_next,mars_crew_fast,my_pilot_nuclear,ppo,7,0.11
electric,ion_next,mars_crew_fast,my_pilot_nuclear,prograde,0,0.0998707602967457
electric,ion_next,mars_crew_fast,my_pilot_nuclear,prograde,1,0.0951653262512638
electric,ion_next,mars_crew_fast,my_pilot_nuclear,prograde,2,0.0903664739799157
electric,ion_next,mars_crew_fast,my_pilot_nuclear,prograde,3,0.0893965409108579
electric,ion_next,mars_crew_fast,my_pilot_nuclear,prograde,4,0.0865295203400713
electric,ion_next,mars_crew_fast,my_pilot_nuclear,prograde,5,0.0780029515912468
electric,ion_next,mars_crew_fast,my_pilot_nuclear,prograde,6,0.0870389852864051
electric,ion_next,mars_crew_fast,my_pilot_nuclear,prograde,7,0.0860141438378716
electric,ion_next,mars_crew_fast,my_pilot_nuclear,random,0,0.1028489583333333
electric,ion_next,mars_crew_fast,my_pilot_nuclear,random,1,0.1025208333333333
electric,ion_next,mars_crew_fast,my_pilot_nuclear,random,2,0.1015052083333333
electric,ion_next,mars_crew_fast,my_pilot_nuclear,random,3,0.1015729166666666
electric,ion_next,mars_crew_fast,my_pilot_nuclear,random,4,0.1009479166666666
electric,ion_next,mars_crew_fast,my_pilot_nuclear,random,5,0.1003177083333333
electric,ion_next,mars_crew_fast,my_pilot_nuclear,random,6,0.1011197916666666
electric,ion_next,mars_crew_fast,my_pilot_nuclear,random,7,0.1011510416666666
electric,ion_next,mars_crew_fast,my_pilot_nuclear,sac,0,0.11
electric,ion_next,mars_crew_fast,my_pilot_nuclear,sac,1,0.0638385416666666
electric,ion_next,mars_crew_fast,my_pilot_nuclear,sac,2,0.11
electric,ion_next,mars_crew_fast,my_pilot_nuclear,sac,3,0.11
electric,ion_next,mars_crew_fast,my_pilot_nuclear,sac,4,0.11
electric,ion_next,mars_crew_fast,my_pilot_nuclear,sac,5,0.11
electric,ion_next,mars_crew_fast,my_pilot_nuclear,sac,6,0.0193906249999999
electric,ion_next,mars_crew_fast,my_pilot_nuclear,sac,7,0.11
electric,hall_spt100,leo_geo_transfer,smoke,max_thrust,0,0.0025398056261940003
electric,hall_spt100,leo_geo_transfer,smoke,max_thrust,1,0.002540637075304
electric,hall_spt100,leo_geo_transfer,smoke,max_thrust,2,0.00290148750098
electric,hall_spt100,leo_geo_transfer,smoke,ppo,0,0.002388888888888
electric,hall_spt100,leo_geo_transfer,smoke,ppo,1,0.0022777777777770003
electric,hall_spt100,leo_geo_transfer,smoke,ppo,2,0.002555555555555
electric,hall_spt100,leo_geo_transfer,smoke,random,0,0.002361111111111
electric,hall_spt100,leo_geo_transfer,smoke,random,1,0.0022777777777770003
electric,hall_spt100,leo_geo_transfer,smoke,random,2,0.002555555555555
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,edelbaum,0,0.1666733086651769
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,edelbaum,1,0.1666733086651769
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,edelbaum,2,0.1666733086651769
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,edelbaum,3,0.1666733086651769
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,edelbaum,4,0.1666733086651769
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,edelbaum,5,0.1666733086651769
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,edelbaum,6,0.1666733086651769
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,edelbaum,7,0.1666733086651769
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,max_thrust,0,0.1667359643284462
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,max_thrust,1,0.1667359643284462
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,max_thrust,2,0.1667359643284462
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,max_thrust,3,0.1667359643284462
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,max_thrust,4,0.1667359643284462
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,max_thrust,5,0.1667359643284462
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,max_thrust,6,0.1667359643284462
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,max_thrust,7,0.1667359643284462
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,ppo,0,0.1752
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,ppo,1,0.1752
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,ppo,2,0.1752
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,ppo,3,0.1752
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,ppo,4,0.1752
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,ppo,5,0.1752
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,ppo,6,0.1752
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,ppo,7,0.1752
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,prograde,0,0.1667299585136739
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,prograde,1,0.1667299585136739
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,prograde,2,0.1667299585136739
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,prograde,3,0.1667299585136739
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,prograde,4,0.1667299585136739
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,prograde,5,0.1667299585136739
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,prograde,6,0.1667299585136739
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,prograde,7,0.1667299585136739
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,random,0,0.1666893361494228
