sweep,family,propulsion,mission,agent,seed,trip_time_days,wear_fraction,constraint_violations,termination_reason_mode,success_rate,status,source_file
my_pilot,electric,ion_next,leo_geo_transfer,max_thrust,6,365.0,0.1151979166666666,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,max_thrust,7,365.0,0.1158802083333333,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,prograde,0,365.0,0.1190624287365981,3237.5,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,prograde,1,365.0,0.1292909586118758,1744.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,prograde,3,365.0,0.1182565926172246,2924.5,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,prograde,2,365.0,0.1206762252316415,2840.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,prograde,4,365.0,0.1256421739963822,2537.25,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,prograde,5,365.0,0.119186667864761,3528.5,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,prograde,6,365.0,0.1211877613732865,2796.25,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,prograde,7,365.0,0.1150289447591362,3134.5,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,edelbaum,0,365.0,0.1090374095037668,3648.25,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,edelbaum,1,365.0,0.1099269416951954,3664.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,edelbaum,2,365.0,0.1092316788553119,3654.75,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,edelbaum,3,365.0,0.1090747689944486,3649.5,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,edelbaum,4,365.0,0.1092316788553119,3654.75,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,edelbaum,5,365.0,0.1086563426988129,3635.5,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,edelbaum,6,365.0,0.1090598251981759,3649.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,edelbaum,7,365.0,0.1092316788553119,3654.75,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,ppo,0,365.0,0.123625,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,ppo,1,365.0,0.122484375,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,ppo,3,365.0,0.1258125,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,ppo,2,365.0,0.1255,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,ppo,4,365.0,0.122328125,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,ppo,6,365.0,0.1230729166666666,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,ppo,5,365.0,0.1268125,0.0,timeout,0.0,ok,results/my_pilot/results.csv
